rollrate,pitchrate,yawrate,ax,ay,az,beta,yawrate_noise,ax_noise,ay_noise,vx,vy,vz,betarate,pitch,roll,yaw
0,0,0,-0.28757,5.49E-05,0.19463,6.10E-08,0.52098,0.23341,0.52104,32.636,1.99E-06,-0.0030582,0.00012192,0.0074563,-8.28E-06,-2.4825
0.0047561,-0.00148,0.00048108,-0.29082,0.19725,0.19209,-6.75E-06,0.28081,-0.010494,0.47759,32.633,0.00042626,-0.0012245,0.0053495,0.0074494,5.16E-06,-2.4825
0.016959,-0.0031031,0.0043231,-0.23019,0.95162,0.18637,0.000162,0.0379,-0.19662,0.9852,32.63,0.0053777,0.00067093,0.025088,0.0074265,0.00011157,-2.4824
0.032243,-0.0047791,0.012618,-0.18346,1.6206,0.1767,0.00050558,0.16986,-0.02622,1.7778,32.628,0.015954,0.0024891,0.036928,0.0073871,0.00035915,-2.4824
0.048311,-0.0064449,0.023318,-0.12758,1.8321,0.1631,0.00086335,-0.28817,-0.43907,1.5206,32.626,0.027574,0.0041902,0.033246,0.0073308,0.00076216,-2.4822
0.064288,-0.0079939,0.034911,-0.080361,1.9541,0.14649,0.0011572,0.79345,0.67818,2.7127,32.625,0.037034,0.0057404,0.025649,0.0072582,0.0013284,-2.4819
0.078254,-0.0093495,0.04701,-0.043312,2.0453,0.12595,0.0013639,0.073423,-0.016899,2.0717,32.625,0.043703,0.0071058,0.015958,0.0071706,0.002046,-2.4815
0.089888,-0.010462,0.059337,-0.012617,2.1278,0.102,0.0014711,0.86301,0.79106,2.9315,32.625,0.047219,0.0082472,0.0059827,0.00707,0.0028925,-2.4809
0.099029,-0.011315,0.071767,0.011278,2.2178,0.076162,0.0014787,0.18986,0.12937,2.3359,32.625,0.04756,0.0091389,-0.0039299,0.0069587,0.0038437,-2.4803
0.10579,-0.011909,0.084212,0.029488,2.3178,0.049367,0.0013888,0.47404,0.41931,2.7076,32.625,0.044792,0.0097667,-0.013494,0.006839,0.0048751,-2.4795
0.11037,-0.012254,0.096613,0.043285,2.4278,0.022481,0.0012053,-0.55013,-0.60346,1.781,32.625,0.039026,0.010126,-0.022682,0.006713,0.0059638,-2.4786
0.11304,-0.012363,0.10892,0.053785,2.5452,-0.003534,0.00093189,-0.20465,-0.25979,2.2316,32.626,0.030373,0.010219,-0.031511,0.006583,0.0070892,-2.4776
0.11405,-0.012248,0.12108,0.061694,2.6709,-0.027994,0.00057239,0.6783,0.61891,3.2282,32.626,0.018945,0.01006,-0.039906,0.006451,0.0082334,-2.4764
0.11369,-0.011914,0.13305,0.067765,2.8015,-0.050405,0.00013059,-0.15271,-0.21799,2.5157,32.627,0.0048616,0.0096655,-0.04794,0.0063188,0.0093812,-2.4752
0.11221,-0.011368,0.14477,0.072416,2.94,-0.069355,-0.00038879,0.40297,0.33061,3.1982,32.628,-0.011736,0.0090637,-0.055481,0.0061884,0.01052,-2.4738
0.10989,-0.010612,0.1562,0.075916,3.0857,-0.084026,-0.00098088,-0.0048085,-0.085094,2.9247,32.628,-0.030691,0.0082931,-0.062493,0.0060616,0.01164,-2.4723
0.10698,-0.0096419,0.16733,0.077881,3.2451,-0.094095,-0.0016391,0.1067,0.01725,3.1845,32.629,-0.051798,0.0073983,-0.068775,0.0059404,0.012735,-2.4707
0.10371,-0.0084551,0.17813,0.079388,3.4032,-0.098528,-0.0023584,-0.42531,-0.52405,2.7998,32.63,-0.074897,0.0064311,-0.074724,0.0058269,0.013799,-2.4689
0.10016,-0.0070627,0.18853,0.08002,3.5611,-0.098964,-0.0031353,-0.37963,-0.48814,2.993,32.631,-0.099878,0.0054412,-0.080301,0.0057228,0.014829,-2.4671
0.096443,-0.0054863,0.19851,0.079789,3.7188,-0.096306,-0.0039658,0.63882,0.5201,4.1591,32.631,-0.12662,0.0044633,-0.085437,0.0056303,0.015823,-2.4652
0.092664,-0.0037582,0.20803,0.07894,3.8784,-0.09213,-0.0048449,0.18796,0.058869,3.8583,32.632,-0.15495,0.0035208,-0.090068,0.0055508,0.01678,-2.4631
0.088937,-0.0019202,0.21706,0.077641,4.0393,-0.087464,-0.0057675,-0.14024,-0.27966,3.682,32.632,-0.18473,0.0026229,-0.094156,0.0054857,0.017699,-2.461
0.085349,-2.01E-05,0.22558,0.076057,4.1998,-0.083582,-0.0067286,-0.11662,-0.26614,3.8576,32.632,-0.21577,0.0017697,-0.09774,0.0054358,0.018583,-2.4588
0.081996,0.0018819,0.23351,0.074152,4.3636,-0.079551,-0.0077213,0.61889,0.45953,4.749,32.633,-0.24787,0.00095188,-0.10063,0.0054015,0.019432,-2.4565
0.07889,0.0037551,0.2409,0.071601,4.5164,-0.075564,-0.0087419,0.21576,0.046456,4.4913,32.633,-0.2809,0.00017858,-0.10333,0.0053826,0.020249,-2.4541
0.075983,0.0055547,0.24784,0.06642,4.6635,-0.072408,-0.0097882,0.47747,0.29605,4.8931,32.633,-0.31479,-0.00056138,-0.10576,0.0053788,0.021036,-2.4517
0.073278,0.0072501,0.25433,0.063358,4.8082,-0.069131,-0.010857,0.43173,0.24076,4.9856,32.632,-0.34942,-0.0012688,-0.10781,0.0053891,0.021796,-2.4492
0.070795,0.0088178,0.26038,0.05966,4.9507,-0.065939,-0.011944,0.59857,0.39785,5.2889,32.632,-0.38467,-0.0019444,-0.10949,0.0054125,0.02253,-2.4466
0.068546,0.01024,0.26598,0.057508,5.0905,-0.062299,-0.013046,0.44509,0.23661,5.2696,32.632,-0.42043,-0.0025855,-0.1108,0.0054476,0.023241,-2.444
